,x
2037,1663643
2038,1664002
2039,1664117
2040,1664136
2041,1664141
2042,1664271
2043,1664359
2044,1664391
2045,1664489
2046,1664533
2047,1664538
2048,1664567
2049,1664569
2050,1664660
2051,1664690
2052,1664774
2053,1664780
2054,1664980
2055,1665043
2056,1665152
2057,1665204
2058,1665385
2059,1665465
2060,1665497
2061,1665557
2062,1665602
2063,1665680
2064,1665690
2065,1665775
2066,1665928
2067,1665950
2068,1666057
2069,1666124
2070,1666193
2071,1666197
2072,1666333
2073,1666426
2074,1666462
2075,1666686
2076,1666724
2077,1666780
2078,1666886
2079,1666890
2080,1666905
2081,1666947
2082,1667014
2083,1667163
2084,1667184
2085,1667194
2086,1667254
2087,1667311
2088,1667418
2089,1667525
2090,1667589
2091,1667637
2092,1667717
2093,1667782
2094,1667827
2095,1667912
2096,1667969
2097,1668025
2098,1668032
2099,1668102
2100,1668131
2101,1668337
2102,1668386
2103,1668762
2104,1668767
2105,1668786
2106,1668792
2107,1668867
2108,1669049
2109,1669079
2110,1669236
2111,1669294
2112,1669345
2113,1669375
2114,1669378
2115,1669522
2116,1669865
2117,1669941
2118,1669972
2119,1670053
2120,1670226
2121,1670484
2122,1670652
2123,1670654
2124,1670772
2125,1670926
2126,1671008
2127,1671034
2128,1671049
2129,1671091
2130,1671248
2131,1671549
2132,1671678
2133,1671687
2134,1671736
2135,1671963
2136,1671967
2137,1672002
2138,1672144
2139,1672231
